Deer_ID,Collar_ID,Proximity_ID,Capture_Date,Recapture_Date_1,Recapture_Date_2,Recapture_Date_3,Sex,Age,Date_Censored,Censor_Event
AD001,87969,30969,2021-12-17T00:00:00Z,2022-01-10,NA,NA,F,Yearling,2022-02-16,Remote Drop
AD002,87238,30238,2021-12-17T00:00:00Z,2022-01-26,2022-02-12,NA,F,Fawn,2022-02-15,Mortality
AD003,87970,30970,2021-12-17T00:00:00Z,NA,NA,NA,F,Adult,2023-11-29,Battery Died
AD004,87983,30983,2021-12-17T00:00:00Z,NA,NA,NA,M,Adult,2022-11-07,Mortality
AD005,87239,30239,2021-12-17T00:00:00Z,2021-12-21,NA,NA,F,Fawn,2021-12-21,Mortality
AD006,87968,30968,2021-12-17T00:00:00Z,NA,NA,NA,M,Fawn,2022-01-13,Mortality
AD007,87972,30972,2021-12-18T00:00:00Z,NA,NA,NA,M,Fawn,2022-04-03,Mortality
AD008,87971,30971,2021-12-19T00:00:00Z,NA,NA,NA,F,Yearling,2021-12-28,Mortality
AD009,87973,30973,2021-12-19T00:00:00Z,NA,NA,NA,F,Fawn,2021-12-21,Slipped Collar
AD010,87967,30967,2021-12-19T00:00:00Z,2022-01-11,2022-01-27,NA,F,Adult,2022-10-07,Collar Failure
AD011,87974,30974,2021-12-19T00:00:00Z,2022-01-12,NA,NA,F,Adult,2022-03-11,Remote Drop
AD012,87965,30965,2021-12-19T00:00:00Z,2022-02-09,NA,NA,F,Adult,2023-12-17,Dropped on Schedule
AD013,87966,30966,2021-12-19T00:00:00Z,NA,NA,NA,F,Adult,2022-03-14,Mortality
AD014,87984,30984,2021-12-20T00:00:00Z,2022-12-19,NA,NA,M,Adult,2022-09-03,Broke Failsafe
AD015,87955,30955,2021-12-21T00:00:00Z,NA,NA,NA,F,Adult,2021-12-22,Mortality
AD016,89853,30853,2021-12-22T00:00:00Z,2022-01-12,NA,NA,F,Adult,2023-12-20,Dropped on Schedule
AD017,87239,30239,2021-12-22T00:00:00Z,2022-01-14,NA,NA,F,Fawn,2022-02-05,Mortality
AD018,89847,30847,2021-12-22T00:00:00Z,2022-01-19,NA,NA,M,Fawn,2022-03-16,Mortality
AD019,NA,NA,2022-01-10T00:00:00Z,NA,NA,NA,F,Fawn,NA,Released Uncollared
AD020,89849,30849,2022-01-10T00:00:00Z,NA,NA,NA,F,Adult,2023-11-19,Battery Died
AD021,89845,30845,2022-01-10T00:00:00Z,NA,NA,NA,M,Adult,2022-01-31,Slipped Collar
AD022,87982,30982,2022-01-11T00:00:00Z,2022-01-20,2022-01-25,2022-01-29,M,Adult,2022-04-08,Mortality
AD023,87956,30956,2022-01-11T00:00:00Z,NA,NA,NA,F,Fawn,2022-02-19,Mortality
AD024,87958,30958,2022-01-12T00:00:00Z,NA,NA,NA,F,Fawn,2022-01-13,Mortality
AD025,89850,30850,2022-01-13T00:00:00Z,NA,NA,NA,M,Fawn,2022-01-14,Mortality
AD026,87979,30979,2022-01-14T00:00:00Z,NA,NA,NA,M,Adult,2022-01-15,Mortality
AD027,89846,30846,2022-01-14T00:00:00Z,NA,NA,NA,M,Fawn,2022-07-04,Slipped Collar
AD028,NA,NA,2022-01-14T00:00:00Z,NA,NA,NA,F,Fawn,NA,Released Uncollared
AD029,NA,NA,2022-01-14T00:00:00Z,NA,NA,NA,M,Fawn,NA,Released Uncollared
AD030,87976,30976,2022-01-22T00:00:00Z,NA,NA,NA,M,Adult,2022-01-30,Slipped Collar
AD031,NA,NA,2022-01-23T00:00:00Z,NA,NA,NA,F,Fawn,NA,Released Uncollared
AD032,89852,30852,2022-01-26T00:00:00Z,NA,NA,NA,F,Fawn,2022-01-26,Mortality
AD033,87959,30959,2022-01-26T00:00:00Z,NA,NA,NA,F,Adult,2022-03-20,Mortality
AD034,87957,30957,2022-01-29T00:00:00Z,NA,NA,NA,F,Fawn,2023-09-18,Remote Drop
AD035,87975,30975,2022-01-30T00:00:00Z,NA,NA,NA,M,Adult,2022-11-08,Broke Failsafe
AD036,NA,NA,2022-02-01T00:00:00Z,NA,NA,NA,M,Fawn,NA,Released Uncollared
AD037,89848,30848,2022-02-01T00:00:00Z,2022-02-05,NA,NA,M,Adult,2022-06-23,Collar Failure
AD038,87960,30960,2022-02-01T00:00:00Z,NA,NA,NA,F,Fawn,2022-03-23,Mortality
AD039,89843,30843,2022-02-01T00:00:00Z,2022-03-18,NA,NA,F,Fawn,2022-10-04,Slipped Collar
AD040,87961,30961,2022-02-01T00:00:00Z,NA,NA,NA,F,Adult,2022-02-07,Mortality
AD041,87964,30964,2022-02-02T00:00:00Z,NA,NA,NA,F,Adult,2024-02-01,Dropped on Schedule
AD042,89851,30851,2022-02-02T00:00:00Z,NA,NA,NA,F,Fawn,2024-02-01,Dropped on Schedule
AD043,NA,NA,2022-02-02T00:00:00Z,NA,NA,NA,M,Adult,NA,Released Uncollared
AD044,87963,30963,2022-02-05T00:00:00Z,NA,NA,NA,F,Adult,2024-01-15,Battery Died
AD045,87955,30955,2022-02-06T00:00:00Z,NA,NA,NA,F,Adult,2024-02-04,Battery Died
AD046,87971,30971,2022-02-06T00:00:00Z,NA,NA,NA,F,Adult,2023-05-06,Mortality
AD047,89844,30844,2022-02-07T00:00:00Z,NA,NA,NA,M,Fawn,2022-12-20,Mortality
AD048,87958,30958,2022-02-07T00:00:00Z,2022-12-18,NA,NA,F,Fawn,2023-08-15,Battery Died
AD049,87973,30973,2022-02-07T00:00:00Z,NA,NA,NA,F,Adult,2024-02-05,Dropped on Schedule
AD050,89852,30852,2022-02-07T00:00:00Z,NA,NA,NA,F,Adult,2022-04-08,Mortality
AD051,87962,30962,2022-02-08T00:00:00Z,NA,NA,NA,F,Fawn,2022-02-17,Mortality
AD052,89842,30842,2022-02-09T00:00:00Z,NA,NA,NA,M,Adult,2022-11-11,Broke Failsafe
AD053,89845,30845,2022-02-09T00:00:00Z,NA,NA,NA,F,Adult,2023-09-04,Collar Failure
AD054,87239,30239,2022-02-10T00:00:00Z,NA,NA,NA,F,Yearling,2022-03-15,Mortality
AD055,87977,30977,2022-02-12T00:00:00Z,NA,NA,NA,F,Adult,2024-02-10,Dropped on Schedule
AD056,87968,30968,2022-02-12T00:00:00Z,2023-03-03,NA,NA,F,Adult,2023-04-25,Mortality
AD057,89850,30850,2022-02-12T00:00:00Z,NA,NA,NA,F,Fawn,2022-10-08,Mortality
AD058,NA,NA,2022-02-13T00:00:00Z,NA,NA,NA,M,Fawn,NA,Released Uncollared
AD059,87969,30969,2022-03-01T00:00:00Z,NA,NA,NA,F,Adult,2023-10-25,Mortality
AD060,89822,30822,2022-03-02T00:00:00Z,NA,NA,NA,F,Adult,2022-03-11,Mortality
AD061,87978,30978,2022-03-02T00:00:00Z,NA,NA,NA,F,Adult,2023-12-08,Mortality
AD062,89823,30823,2022-03-02T00:00:00Z,NA,NA,NA,F,Adult,2024-02-28,Dropped on Schedule
AD063,847,30847,2022-03-02T00:00:00Z,2022-03-04,NA,NA,F,Fawn,2022-05-23,Mortality
AD064,89826,30826,2022-03-02T00:00:00Z,2022-03-04,2022-03-13,NA,M,Adult,2022-03-30,Mortality
AD065,NA,NA,2022-03-03T00:00:00Z,NA,NA,NA,M,Yearling,NA,Released Uncollared
AD066,89825,30825,2022-03-03T00:00:00Z,NA,NA,NA,F,Adult,2023-10-21,Battery Died
AD067,89824,30824,2022-03-04T00:00:00Z,NA,NA,NA,F,Adult,2024-03-01,Dropped on Schedule
AD068,87345,30345,2022-03-04T00:00:00Z,2022-03-10,2022-03-07,NA,F,Fawn,2024-02-07,Battery Died
AD069,87218,30218,2022-03-04T00:00:00Z,NA,NA,NA,F,Yearling,2022-07-18,Collar Failure
AD070,87341,30341,2022-03-04T00:00:00Z,NA,NA,NA,M,Adult,2022-10-30,Broke Failsafe
AD071,87219,30219,2022-03-04T00:00:00Z,NA,NA,NA,F,Yearling,2022-07-08,Collar Failure
AD072,87215,30215,2022-03-04T00:00:00Z,2022-03-09,NA,NA,F,Fawn,2022-08-13,Collar Failure
AD073,87217,30217,2022-03-05T00:00:00Z,NA,NA,NA,F,Yearling,2022-08-25,Collar Failure
AD074,NA,NA,2022-03-07T00:00:00Z,NA,NA,NA,M,Fawn,NA,Released Uncollared
AD075,89831,30831,2022-03-09T00:00:00Z,NA,NA,NA,F,Adult,2023-03-19,Mortality
AD076,87961,30961,2022-03-09T00:00:00Z,2022-03-10,2022-03-12,2022-03-15,M,Fawn,2022-11-28,Released Uncollared
AD077,87216,30216,2022-03-10T00:00:00Z,NA,NA,NA,F,Adult,2022-08-31,Collar Failure
AD078,NA,NA,2022-03-11T00:00:00Z,NA,NA,NA,M,Fawn,NA,Released Uncollared
AD079,NA,NA,2022-03-12T00:00:00Z,NA,NA,NA,M,Adult,NA,Released Uncollared
AD080,NA,NA,2022-03-12T00:00:00Z,NA,NA,NA,F,Yearling,NA,Released Uncollared
AD081,89828,30828,2022-03-16T00:00:00Z,NA,NA,NA,F,Adult,2023-06-24,Battery Died
AD082,87214,30214,2022-03-15T00:00:00Z,NA,NA,NA,F,Fawn,2022-09-04,Collar Failure
AD083,87220,30220,2022-03-19T00:00:00Z,NA,NA,NA,F,Fawn,2022-07-12,Collar Failure
AD084,87974,30974,2022-03-20T00:00:00Z,NA,NA,NA,F,Adult,2023-11-07,Hunting
AD085,150777,30777,2022-12-16T00:00:00Z,NA,NA,NA,F,Fawn,2023-02-25,Remote Drop
AD086,87959,30959,2022-12-16T00:00:00Z,NA,NA,NA,F,Adult,2024-08-12,Battery Died
AD087,150780,30780,2022-12-16T00:00:00Z,NA,NA,NA,F,Fawn,2023-01-31,Remote Drop
AD088,150776,30776,2022-12-16T00:00:00Z,NA,NA,NA,F,Adult,2023-01-31,Remote Drop
AD089,150775,30775,2022-12-16T00:00:00Z,NA,NA,NA,F,Fawn,2023-03-16,Remote Drop
AD090,89833,30833,2022-12-16T00:00:00Z,NA,NA,NA,M,Fawn,2023-02-18,Mortality
AD091,89852,30852,2022-12-16T00:00:00Z,NA,NA,NA,F,Adult,2024-06-13,Battery Died
AD092,150779,30779,2022-12-17T00:00:00Z,NA,NA,NA,F,Fawn,2023-01-20,Mortality
AD093,87972,30972,2022-12-17T00:00:00Z,NA,NA,NA,M,Adult,2023-11-01,Slipped Collar
AD094,89841,30841,2022-12-17T00:00:00Z,NA,NA,NA,M,Fawn,2023-02-09,Remote Drop
AD095,150781,30781,2022-12-17T00:00:00Z,NA,NA,NA,F,Fawn,2023-01-07,Mortality
AD096,NA,NA,2022-12-17T00:00:00Z,NA,NA,NA,M,Fawn,NA,Released Uncollared
AD097,150783,30783,2022-12-17T00:00:00Z,NA,NA,NA,F,Adult,2024-12-14,Dropped on Schedule
AD098,89837,30837,2022-12-17T00:00:00Z,NA,NA,NA,M,Fawn,2023-01-26,Slipped Collar
AD099,89838,30838,2022-12-17T00:00:00Z,NA,NA,NA,M,Fawn,2024-04-12,Collar Failure
AD100,150782,30782,2022-12-17T00:00:00Z,NA,NA,NA,F,Adult,2023-01-10,Remote Drop
AD101,150778,30778,2022-12-17T00:00:00Z,NA,NA,NA,F,Yearling,2023-02-25,Remote Drop
AD102,NA,NA,2022-12-18T00:00:00Z,NA,NA,NA,F,Fawn,NA,Mortality
AD103,87962,30962,2022-12-18T00:00:00Z,NA,NA,NA,F,Adult,2022-12-19,Mortality
AD104,150784,30784,2022-12-18T00:00:00Z,NA,NA,NA,F,Fawn,2023-02-19,Mortality
AD105,89834,30834,2022-12-19T00:00:00Z,NA,NA,NA,F,Adult,2023-01-31,Remote Drop
AD106,89830,30830,2022-12-19T00:00:00Z,NA,NA,NA,M,Fawn,2023-01-18,Remote Drop
AD107,89827,30827,2022-12-20T00:00:00Z,NA,NA,NA,M,Fawn,2023-02-24,Remote Drop
AD108,89829,30829,2022-12-20T00:00:00Z,NA,NA,NA,M,Fawn,2022-12-21,Mortality
AD109,87960,30960,2022-12-21T00:00:00Z,NA,NA,NA,F,Adult,2024-11-12,Mortality
AD110,89843,30843,2022-12-21T00:00:00Z,NA,NA,NA,F,Adult,2021-12-20,Battery Died
AD111,89850,30850,2023-01-07T00:00:00Z,NA,NA,NA,F,Adult,2024-02-27,Remote Drop
AD112,87238,30238,2023-01-07T00:00:00Z,NA,NA,NA,F,Yearling,2025-01-05,Dropped on Schedule
AD113,89847,30847,2023-01-07T00:00:00Z,NA,NA,NA,M,Fawn,2024-06-29,Battery Died
AD114,89829,30829,2023-01-07T00:00:00Z,NA,NA,NA,M,Fawn,2023-11-09,Hunting
AD115,NA,NA,2023-01-07T00:00:00Z,NA,NA,NA,M,Fawn,NA,Released Uncollared
AD116,87239,30239,2023-01-07T00:00:00Z,NA,NA,NA,F,Adult,2024-02-27,Remote Drop
AD117,87984,30984,2023-01-07T00:00:00Z,NA,NA,NA,M,Adult,2024-02-27,Remote Drop
AD118,150781,30781,2023-01-10T00:00:00Z,NA,NA,NA,F,Fawn,2023-11-06,Hunting
AD119,89846,30846,2023-01-10T00:00:00Z,NA,NA,NA,M,Adult,2024-02-27,Remote Drop
AD120,89835,30835,2023-01-10T00:00:00Z,NA,NA,NA,F,Fawn,2024-12-08,Battery Died
AD121,87966,30966,2023-01-10T00:00:00Z,NA,NA,NA,F,Adult,2024-09-27,Battery Died
AD122,NA,NA,2023-01-11T00:00:00Z,NA,NA,NA,F,Adult,NA,Released Uncollared
AD123,151409,30409,2023-01-11T00:00:00Z,NA,NA,NA,M,Fawn,2023-01-16,Mortality
AD124,87962,30962,2023-01-12T00:00:00Z,NA,NA,NA,F,Adult,2023-04-13,Mortality
AD125,150782,30782,2023-01-13T00:00:00Z,NA,NA,NA,F,Fawn,2023-01-19,Mortality
AD126,87216,30216,2023-01-13T00:00:00Z,NA,NA,NA,F,Adult,2025-01-10,Dropped on Schedule
AD127,87975,30975,2023-01-15T00:00:00Z,NA,NA,NA,M,Adult,2023-12-11,Mortality
AD128,NA,NA,2023-01-15T00:00:00Z,NA,NA,NA,F,Fawn,NA,Released Uncollared
AD129,NA,NA,2023-01-16T00:00:00Z,NA,NA,NA,F,Fawn,NA,Released Uncollared
AD130,89840,30840,2023-01-16T00:00:00Z,NA,NA,NA,M,Adult,2023-12-07,Collar Failure
AD131,87956,30956,2023-01-16T00:00:00Z,NA,NA,NA,M,Yearling,2023-01-30,Slipped Collar
AD132,87220,30220,2023-01-16T00:00:00Z,NA,NA,NA,F,Adult,2024-01-16,Battery Died
AD133,151409,30409,2023-01-17T00:00:00Z,NA,NA,NA,M,Fawn,2023-04-02,Mortality
AD134,NA,NA,2023-01-18T00:00:00Z,NA,NA,NA,M,Fawn,NA,Released Uncollared
AD135,87219,30219,2023-01-18T00:00:00Z,NA,NA,NA,F,Fawn,2023-01-31,Mortality
AD136,89848,30848,2023-01-19T00:00:00Z,NA,NA,NA,F,Adult,2024-09-06,Battery Died
AD137,89830,30830,2023-01-19T00:00:00Z,NA,NA,NA,F,Adult,2023-11-29,Mortality
AD138,89822,30822,2023-01-19T00:00:00Z,NA,NA,NA,F,Adult,2023-12-22,Mortality
AD139,89833,30833,2023-02-27T00:00:00Z,NA,NA,NA,M,Yearling,2023-10-26,Broke Failsafe
AD140,150779,30779,2023-02-27T00:00:00Z,NA,NA,NA,M,Fawn,2023-03-04,Mortality
AD141,150777,30777,2023-02-27T00:00:00Z,NA,NA,NA,F,Yearling,2024-02-26,Dropped on Schedule
AD142,150780,30780,2023-02-28T00:00:00Z,NA,NA,NA,F,Adult,2023-05-30,Slipped Collar
AD143,150776,30776,2023-03-01T00:00:00Z,NA,NA,NA,F,Adult,2023-08-30,Mortality
AD144,150782,30782,2023-03-01T00:00:00Z,NA,NA,NA,F,Adult,2023-04-10,Mortality
AD145,89834,30834,2023-03-01T00:00:00Z,NA,NA,NA,F,Adult,2024-09-03,Battery Died
AD146,89837,30837,2023-03-01T00:00:00Z,NA,NA,NA,M,Adult,2023-11-27,Broke Failsafe
AD147,150778,30778,2023-03-01T00:00:00Z,NA,NA,NA,M,Adult,2024-05-11,Collar Failure
AD148,87219,30219,2023-03-01T00:00:00Z,NA,NA,NA,F,Fawn,2023-11-06,Hunting
AD149,89844,30844,2023-03-01T00:00:00Z,NA,NA,NA,F,Adult,2023-12-22,Mortality
AD150,87956,30956,2023-03-01T00:00:00Z,NA,NA,NA,M,Adult,2023-10-14,Broke Failsafe
AD151,89841,30841,2023-03-01T00:00:00Z,NA,NA,NA,F,Adult,2024-02-05,Mortality
AD152,150784,30784,2023-03-09T00:00:00Z,NA,NA,NA,F,Adult,2025-01-20,Collar Failure
AD153,89827,30827,2023-03-09T00:00:00Z,NA,NA,NA,M,Fawn,2023-11-17,Hunting
AD154,NA,NA,2023-03-09T00:00:00Z,NA,NA,NA,F,Yearling,NA,Mortality
